Cycle: 10  CDAN-c206_X	Cycle: 10  CDAN-c206_Y	Fitted Cycle: 10  CDAN-c206_X	Fitted Cycle: 10  CDAN-c206_Y
-15.32	-0.0727539	-15.32	-0.766
-15.22	-0.0649414	-15.22	-0.761
-15.12	-0.0649414	-15.12	-0.756
-15.02	-0.0649414	-15.02	-0.751
-14.92	-0.0551758	-14.92	-0.746
-14.82	-0.0551758	-14.82	-0.741
-14.72	-0.0629883	-14.72	-0.736
-14.62	-0.0551758	-14.62	-0.731
-14.52	-0.0551758	-14.52	-0.726
-14.42	-0.0629883	-14.42	-0.721
-14.32	-0.0649414	-14.32	-0.716
-14.22	-0.0532227	-14.22	-0.711
-14.12	-0.0610352	-14.12	-0.706
-14.02	-0.0629883	-14.02	-0.701
-13.92	-0.0532227	-13.92	-0.696
-13.82	-0.0532227	-13.82	-0.691
-13.72	-0.0532227	-13.72	-0.686
-13.62	-0.0610352	-13.62	-0.681
-13.52	-0.0532227	-13.52	-0.676
-13.42	-0.0532227	-13.42	-0.671
-13.32	-0.0610352	-13.32	-0.666
-13.22	-0.0532227	-13.22	-0.661
-13.12	-0.0532227	-13.12	-0.656
-13.02	-0.0532227	-13.02	-0.651
-12.92	-0.0532227	-12.92	-0.646
-12.82	-0.0610352	-12.82	-0.641
-12.72	-0.0532227	-12.72	-0.636
-12.62	-0.0532227	-12.62	-0.631
-12.52	-0.043457	-12.52	-0.626
-12.42	-0.0512695	-12.42	-0.621
-12.32	-0.0532227	-12.32	-0.616
-12.22	-0.043457	-12.22	-0.611
-12.12	-0.0527344	-12.12	-0.606
-12.02	-0.0551758	-12.02	-0.601
-11.92	-0.0551758	-11.92	-0.596
-11.82	-0.0454102	-11.82	-0.591
-11.72	-0.0454102	-11.72	-0.586
-11.62	-0.0454102	-11.62	-0.581
-11.52	-0.0336914	-11.52	-0.576
-11.42	-0.0336914	-11.42	-0.571
-11.32	-0.0336914	-11.32	-0.566
-11.22	-0.0336914	-11.22	-0.561
-11.12	-0.0239258	-11.12	-0.556
-11.02	-0.0239258	-11.02	-0.551
-10.92	-0.0239258	-10.92	-0.546
-10.82	-0.0239258	-10.82	-0.541
-10.72	-0.0239258	-10.72	-0.536
-10.62	-0.0239258	-10.62	-0.531
-10.52	-0.0317383	-10.52	-0.526
-10.42	-0.0239258	-10.42	-0.521
-10.32	-0.0239258	-10.32	-0.516
-10.22	-0.0239258	-10.22	-0.511
-10.12	-0.0239258	-10.12	-0.506
-10.02	-0.0141602	-10.02	-0.501
-9.92	-0.0141602	-9.92	-0.496
