Cycle: 8  CDAN1A-c206  39.0625 _X	Cycle: 8  CDAN1A-c206  39.0625 _Y	Cycle: 9  CDAN1A-c206  78.125 n_X	Cycle: 9  CDAN1A-c206  78.125 n_Y	Cycle: 10  CDAN1A-c206  156.25 _X	Cycle: 10  CDAN1A-c206  156.25 _Y	Cycle: 11  CDAN1A-c206  312.5 n_X	Cycle: 11  CDAN1A-c206  312.5 n_Y	Cycle: 12  CDAN1A-c206  625 nM_X	Cycle: 12  CDAN1A-c206  625 nM_Y
-45.32	-0.086792	-45.32	-0.0651703	-45.32	-0.0572433	-45.32	-0.0545425	-45.32	5.37109e-3
-45.22	-0.086792	-45.22	-0.0651703	-45.22	-0.0572441	-45.22	-0.0522003	-45.22	5.37109e-3
-45.12	-0.0965576	-45.12	-0.0655594	-45.12	-0.0670084	-45.12	-0.0619659	-45.12	-4.39453e-3
-45.02	-0.0887451	-45.02	-0.0554047	-45.02	-0.0591964	-45.02	-0.0541534	-45.02	3.41797e-3
-44.92	-0.0770264	-44.92	-0.0436859	-44.92	-0.0572433	-44.92	-0.0522003	-44.92	0.0131836
-44.82	-0.0770264	-44.82	-0.0436859	-44.82	-0.0572433	-44.82	-0.0522003	-44.82	0.0249023
-44.72	-0.0770264	-44.72	-0.0436859	-44.72	-0.0572433	-44.72	-0.0522003	-44.72	0.0249023
-44.62	-0.0692139	-44.62	-0.0436859	-44.62	-0.0572433	-44.62	-0.0522003	-44.62	0.0249023
-44.52	-0.0672607	-44.52	-0.0436859	-44.52	-0.0572438	-44.52	-0.0424347	-44.52	0.0249023
-44.42	-0.0789795	-44.42	-0.0554047	-44.42	-0.0689621	-44.42	-0.0541534	-44.42	0.0131836
-44.32	-0.0789795	-44.32	-0.0554047	-44.32	-0.0689621	-44.32	-0.0541534	-44.32	0.0131836
-44.22	-0.0672607	-44.22	-0.045639	-44.22	-0.0689621	-44.22	-0.0463409	-44.22	0.0131836
