Cycle: 11  CDAN-1032A_X	Cycle: 11  CDAN-1032A_Y	Fitted Cycle: 11  CDAN-1032A_X	Fitted Cycle: 11  CDAN-1032A_Y
-1.72	-0.438721	-1.72	-0.0859999
-1.62	-0.471924	-1.62	-0.0809999
-1.52	-0.516846	-1.52	-0.0759998
-1.42	-0.544189	-1.42	-0.0709999
-1.32	-0.553955	-1.32	-0.066
-1.22	-0.532471	-1.22	-0.0609999
-1.12	-0.513428	-1.12	-0.0559999
-1.02	-0.460205	-1.02	-0.0509998
-0.919998	-0.411865	-0.919998	-0.0459999
-0.82	-0.3396	-0.82	-0.041
-0.719997	-0.247803	-0.719997	-0.0359999
-0.619999	-0.126709	-0.619999	-0.0309999
-0.519997	-0.0407715	-0.519997	-0.0259998
-0.419998	-0.0280762	-0.419998	-0.0209999
-0.32	-0.0187988	-0.32	-0.016
-0.219997	0.186768	-0.219997	-0.0109999
-0.119999	1.35742	-0.119999	-5.99995e-3
-0.0199966	3.74219	-0.0199966	-9.99832e-4
0.0800018	5.71704	0.0800018	-3.005
0.18	4.03516	0.18	-2.99722
0.279999	1.33862	0.279999	-2.98943
0.380005	0.0197754	0.380005	-2.98165
0.480003	-0.400391	0.480003	-2.97387
0.580002	-0.295654	0.580002	-2.96609
0.68	-0.0422363	0.68	-2.9583
0.779999	0.109375	0.779999	-2.95052
0.880005	0.288574	0.880005	-2.94274
0.980003	0.431152	0.980003	-2.93496
1.08	0.539795	1.08	-2.92718
1.18	0.675049	1.18	-2.91939
1.28	0.800049	1.28	-2.91161
1.38	0.918701	1.38	-2.90383
1.48	0.990967	1.48	-2.89605
1.58	1.04175	1.58	-2.88827
1.68	1.1355	1.68	-2.88049
1.78	1.21558	1.78	-2.87271
1.88	1.27612	1.88	-2.86492
1.98	1.31714	1.98	-2.85714
2.08	1.34448	2.08	-2.84936
2.18	1.37573	2.18	-2.84158
2.28	1.40454	2.28	-2.8338
2.38	1.43433	2.38	-2.82602
2.48	1.43433	2.48	-2.81824
2.58	1.44214	2.58	-2.81046
2.68	1.46118	2.68	-2.80268
2.78	1.47339	2.78	-2.7949
2.88	1.49097	2.88	-2.78712
2.98	1.50415	2.98	-2.77934
3.08	1.52222	3.08	-2.77156
3.18	1.53394	3.18	-2.76378
3.28	1.5437	3.28	-2.756
3.38	1.55493	3.38	-2.74822
3.48	1.56128	3.48	-2.74044
3.58	1.573	3.58	-2.73266
3.68	1.57446	3.68	-2.72488
3.78	1.58276	3.78	-2.7171
3.88	1.59448	3.88	-2.70932
3.98	1.59253	3.98	-2.70154
4.08	1.60376	4.08	-2.69377
4.18	1.62183	4.18	-2.68599
4.28	1.62378	4.28	-2.67821
4.38	1.63354	4.38	-2.67043
4.48	1.63306	4.48	-2.66265
4.58	1.64331	4.58	-2.65487
4.68	1.65308	4.68	-2.6471
4.78	1.66235	4.78	-2.63932
4.88	1.67456	4.88	-2.63154
4.98	1.68433	4.98	-2.62376
