Cycle: 15  CDAN-D1080A_X	Cycle: 15  CDAN-D1080A_Y	Fitted Cycle: 15  CDAN-D1080A_X	Fitted Cycle: 15  CDAN-D1080A_Y
-11.22	-0.0151367	-11.22	-0.561
-11.12	-0.0151367	-11.12	-0.556
-11.02	-0.0249023	-11.02	-0.551
-10.92	-0.0170898	-10.92	-0.546
-10.82	-0.0249023	-10.82	-0.541
-10.72	-0.0249023	-10.72	-0.536
-10.62	-0.034668	-10.62	-0.531
-10.52	-0.0385742	-10.52	-0.526
-10.42	-0.0366211	-10.42	-0.521
-10.32	-0.0463867	-10.32	-0.516
-10.22	-0.0463867	-10.22	-0.511
-10.12	-0.0483398	-10.12	-0.506
-10.02	-0.0463867	-10.02	-0.501
-9.92	-0.0463867	-9.92	-0.496
-9.82	-0.0561523	-9.82	-0.491
-9.72	-0.0483398	-9.72	-0.486
-9.62	-0.0463867	-9.62	-0.481
-9.52	-0.0561523	-9.52	-0.476
-9.42	-0.0566406	-9.42	-0.471
-9.32	-0.0737305	-9.32	-0.466
-9.22	-0.0795898	-9.22	-0.461
-9.12	-0.0952148	-9.12	-0.456
-9.02	-0.0991211	-9.02	-0.451
-8.92	-0.0991211	-8.92	-0.446
-8.82	-0.0878906	-8.82	-0.441
-8.72	-0.0893555	-8.72	-0.436
-8.62	-0.0893555	-8.62	-0.431
-8.52	-0.108887	-8.52	-0.426
-8.42	-0.11084	-8.42	-0.421
-8.32	-0.101563	-8.32	-0.416
-8.22	-0.0991211	-8.22	-0.411
-8.12	-0.101074	-8.12	-0.406
-8.02	-0.0917969	-8.02	-0.401
-7.92	-0.0893555	-7.92	-0.396
-7.82	-0.0893555	-7.82	-0.391
-7.72	-0.0878906	-7.72	-0.386
-7.62	-0.0893555	-7.62	-0.381
-7.52	-0.081543	-7.52	-0.376
-7.42	-0.0795898	-7.42	-0.371
-7.32	-0.078125	-7.32	-0.366
-7.22	-0.0795898	-7.22	-0.361
-7.12	-0.0893555	-7.12	-0.356
-7.02	-0.081543	-7.02	-0.351
-6.92	-0.078125	-6.92	-0.346
-6.82	-0.0893555	-6.82	-0.341
-6.72	-0.081543	-6.72	-0.336
-6.62	-0.078125	-6.62	-0.331
-6.52	-0.081543	-6.52	-0.326
-6.42	-0.0795898	-6.42	-0.321
-6.32	-0.0893555	-6.32	-0.316
-6.22	-0.0898438	-6.22	-0.311
