Cycle: 7  C15D171A_X	Cycle: 7  C15D171A_Y	Fitted Cycle: 7  C15D171A_X	Fitted Cycle: 7  C15D171A_Y
-1.46	-0.342529	-1.46	-0.0747958
-1.36	-0.379639	-1.36	-0.0696728
-1.26	-0.400391	-1.26	-0.0645499
-1.16	-0.416748	-1.16	-0.0594268
-1.06	-0.421875	-1.06	-0.0543039
-0.959999	-0.416748	-0.959999	-0.0491808
-0.860001	-0.396484	-0.860001	-0.0440578
-0.760002	-0.422607	-0.760002	-0.0389349
-0.66	-0.398438	-0.66	-0.0338118
-0.560001	-0.398438	-0.560001	-0.0286889
-0.459999	-0.328857	-0.459999	-0.0235658
-0.360001	-0.295654	-0.360001	-0.0184428
-0.260002	-0.278809	-0.260002	-0.0133199
-0.16	-0.267822	-0.16	-8.19679e-3
-0.0600014	-0.439453	-0.0600014	-3.07387e-3
0.0400009	-0.589844	0.0400009	-17.608
0.139999	-1.30005	0.139999	-17.5709
0.239998	-1.45337	0.239998	-17.5338
0.339996	-0.7854	0.339996	-17.4968
0.440002	-0.0795898	0.440002	-17.4598
0.540001	0.324951	0.540001	-17.4227
0.639999	0.537109	0.639999	-17.3857
0.739998	0.764404	0.739998	-17.3487
0.839996	0.859131	0.839996	-17.3117
0.940002	0.977051	0.940002	-17.2747
1.04	1.104	1.04	-17.2377
1.14	1.26221	1.14	-17.2007
1.24	1.31958	1.24	-17.1637
1.34	1.34692	1.34	-17.1267
1.44	1.36572	1.44	-17.0897
1.54	1.38013	1.54	-17.0527
1.64	1.4231	1.64	-17.0158
1.74	1.45435	1.74	-16.9788
1.84	1.47192	1.84	-16.9418
1.94	1.49146	1.94	-16.9049
2.04	1.52075	2.04	-16.8679
2.14	1.53442	2.14	-16.831
2.24	1.55859	2.24	-16.794
2.34	1.57153	2.34	-16.7571
2.44	1.57544	2.44	-16.7202
2.54	1.59106	2.54	-16.6833
2.64	1.59497	2.64	-16.6464
2.74	1.61523	2.74	-16.6094
2.84	1.62231	2.84	-16.5725
2.94	1.63599	2.94	-16.5356
3.04	1.64575	3.04	-16.4988
3.14	1.65625	3.14	-16.4619
3.24	1.66138	3.24	-16.425
3.34	1.67505	3.34	-16.3881
3.44	1.68481	3.44	-16.3512
3.54	1.69458	3.54	-16.3144
3.64	1.70044	3.64	-16.2775
3.74	1.71094	3.74	-16.2407
3.84	1.71606	3.84	-16.2038
