Cycle: 4  c15-c089_X	Cycle: 4  c15-c089_Y	Fitted Cycle: 4  c15-c089_X	Fitted Cycle: 4  c15-c089_Y
-21.56	0.185913	-21.56	-1.3807
-21.46	0.182007	-21.46	-1.3743
-21.36	0.176147	-21.36	-1.36789
-21.26	0.176147	-21.26	-1.36149
-21.16	0.172241	-21.16	-1.35509
-21.06	0.176147	-21.06	-1.34868
-20.96	0.176147	-20.96	-1.34228
-20.86	0.172241	-20.86	-1.33587
-20.76	0.166382	-20.76	-1.32947
-20.66	0.166382	-20.66	-1.32307
-20.56	0.162476	-20.56	-1.31666
-20.46	0.156616	-20.46	-1.31026
-20.36	0.156616	-20.36	-1.30385
-20.26	0.151978	-20.26	-1.29745
-20.16	0.144897	-20.16	-1.29105
-20.06	0.144897	-20.06	-1.28464
-19.96	0.140991	-19.96	-1.27824
-19.86	0.144897	-19.86	-1.27183
-19.76	0.144897	-19.76	-1.26543
-19.66	0.144897	-19.66	-1.25903
-19.56	0.140991	-19.56	-1.25262
-19.46	0.135132	-19.46	-1.24622
-19.36	0.135132	-19.36	-1.23981
-19.26	0.131226	-19.26	-1.23341
-19.16	0.125366	-19.16	-1.22701
-19.06	0.125366	-19.06	-1.2206
-18.96	0.131226	-18.96	-1.2142
-18.86	0.125366	-18.86	-1.20779
-18.76	0.12146	-18.76	-1.20139
-18.66	0.115601	-18.66	-1.19499
-18.56	0.115601	-18.56	-1.18858
-18.46	0.111694	-18.46	-1.18218
-18.36	0.105835	-18.36	-1.17577
-18.26	0.101929	-18.26	-1.16937
-18.16	0.0960693	-18.16	-1.16297
-18.06	0.0960693	-18.06	-1.15656
-17.96	0.0914307	-17.96	-1.15016
-17.86	0.0843506	-17.86	-1.14375
-17.76	0.0941162	-17.76	-1.13735
-17.66	0.0941162	-17.66	-1.13095
-17.56	0.09021	-17.56	-1.12454
-17.46	0.0843506	-17.46	-1.11814
-17.36	0.0804443	-17.36	-1.11173
-17.26	0.074585	-17.26	-1.10533
-17.16	0.074585	-17.16	-1.09893
-17.06	0.0706787	-17.06	-1.09252
-16.96	0.0648193	-16.96	-1.08612
-16.86	0.0648193	-16.86	-1.07971
-16.76	0.0648193	-16.76	-1.07331
-16.66	0.0609131	-16.66	-1.06691
-16.56	0.0550537	-16.56	-1.0605
-16.46	0.0648193	-16.46	-1.0541
-16.36	0.0648193	-16.36	-1.04769
-16.26	0.0609131	-16.26	-1.04129
-16.16	0.0550537	-16.16	-1.03489
-16.06	0.0550537	-16.06	-1.02848
-15.96	0.0511475	-15.96	-1.02208
-15.86	0.0452881	-15.86	-1.01567
-15.76	0.0452881	-15.76	-1.00927
-15.66	0.0452881	-15.66	-1.00287
-15.56	0.0413818	-15.56	-0.996462
-15.46	0.0355225	-15.46	-0.990058
-15.36	0.0355225	-15.36	-0.983654
-15.26	0.0355225	-15.26	-0.977251
-15.16	0.0413818	-15.16	-0.970846
-15.06	0.0355225	-15.06	-0.964442
-14.96	0.0355225	-14.96	-0.958038
-14.86	0.0355225	-14.86	-0.951634
-14.76	0.0308838	-14.76	-0.945231
-14.66	0.0238037	-14.66	-0.938826
-14.56	0.0238037	-14.56	-0.932422
-14.46	0.0238037	-14.46	-0.926018
-14.36	0.0198975	-14.36	-0.919614
-14.26	0.0140381	-14.26	-0.913211
-14.16	0.0257568	-14.16	-0.906806
-14.06	0.0257568	-14.06	-0.900402
-13.96	0.0218506	-13.96	-0.893998
-13.86	0.0159912	-13.86	-0.887594
-13.76	0.0159912	-13.76	-0.881191
-13.66	0.0159912	-13.66	-0.874786
-13.56	0.012085	-13.56	-0.868382
-13.46	6.22559e-3	-13.46	-0.861978
-13.36	0.0159912	-13.36	-0.855574
-13.26	0.0159912	-13.26	-0.849171
-13.16	0.012085	-13.16	-0.842766
-13.06	6.22559e-3	-13.06	-0.836362
-12.96	6.22559e-3	-12.96	-0.829958
-12.86	6.22559e-3	-12.86	-0.823554
-12.76	2.31934e-3	-12.76	-0.817151
-12.66	-3.54004e-3	-12.66	-0.810746
-12.56	-3.54004e-3	-12.56	-0.804342
-12.46	-3.54004e-3	-12.46	-0.797938
-12.36	-3.54004e-3	-12.36	-0.791534
-12.26	-7.44629e-3	-12.26	-0.785131
-12.16	-0.0133057	-12.16	-0.778726
-12.06	-0.0133057	-12.06	-0.772322
-11.96	-0.0133057	-11.96	-0.765918
-11.86	-0.0133057	-11.86	-0.759514
-11.76	-0.0172119	-11.76	-0.753111
-11.66	-0.0230713	-11.66	-0.746706
-11.56	-0.0230713	-11.56	-0.740302
-11.46	-0.0230713	-11.46	-0.733898
-11.36	-0.0230713	-11.36	-0.727494
-11.26	-0.0230713	-11.26	-0.721091
-11.16	-0.0230713	-11.16	-0.714686
-11.06	-0.0230713	-11.06	-0.708282
-10.96	-0.0230713	-10.96	-0.701878
-10.86	-0.0230713	-10.86	-0.695474
-10.76	-0.0230713	-10.76	-0.689071
-10.66	-0.0230713	-10.66	-0.682666
-10.56	-0.0230713	-10.56	-0.676262
-10.46	-0.02771	-10.46	-0.669858
-10.36	-0.03479	-10.36	-0.663454
-10.26	-0.03479	-10.26	-0.657051
-10.16	-0.03479	-10.16	-0.650646
-10.06	-0.03479	-10.06	-0.644242
-9.96	-0.03479	-9.96	-0.637838
-9.86	-0.0250244	-9.86	-0.631434
-9.76	-0.03479	-9.76	-0.625031
-9.66	-0.03479	-9.66	-0.618626
-9.56	-0.0301514	-9.56	-0.612222
-9.46	-0.0289307	-9.46	-0.605818
-9.36	-0.0308838	-9.36	-0.599414
-9.26	-0.0211182	-9.26	-0.593011
-9.16	-0.0211182	-9.16	-0.586606
-9.06	-0.0211182	-9.06	-0.580202
-8.96	-0.0211182	-8.96	-0.573798
-8.86	-0.0211182	-8.86	-0.567394
-8.76	-0.039917	-8.76	-0.560991
-8.66	-0.03479	-8.66	-0.554586
-8.56	-0.0269775	-8.56	-0.548182
-8.46	-0.0211182	-8.46	-0.541778
-8.36	-0.0172119	-8.36	-0.535374
-8.26	-0.0113525	-8.26	-0.528971
-8.16	-0.0106201	-8.16	-0.522566
-8.06	-9.39941e-3	-8.06	-0.516162
-7.96	-9.39941e-3	-7.96	-0.509758
-7.86	-5.49316e-3	-7.86	-0.503354
-7.76	-1.58691e-3	-7.76	-0.496951
-7.66	2.31934e-3	-7.66	-0.490546
-7.56	8.91113e-3	-7.56	-0.484142
-7.46	0.0101318	-7.46	-0.477738
-7.36	4.27246e-3	-7.36	-0.471334
-7.26	0.0101318	-7.26	-0.464931
-7.16	0.0140381	-7.16	-0.458526
-7.06	0.0179443	-7.06	-0.452122
-6.96	0.0128174	-6.96	-0.445718
-6.86	0.0198975	-6.86	-0.439314
-6.76	0.0198975	-6.76	-0.432911
-6.66	0.0198975	-6.66	-0.426506
-6.56	0.0238037	-6.56	-0.420102
-6.46	0.0296631	-6.46	-0.413698
-6.36	0.0179443	-6.36	-0.407294
-6.26	0.022583	-6.26	-0.400891
-6.16	0.0296631	-6.16	-0.394486
-6.06	0.0238037	-6.06	-0.388082
-5.96	0.0238037	-5.96	-0.381678
-5.86	0.0343018	-5.86	-0.375274
-5.76	0.0335693	-5.76	-0.368871
-5.66	0.0335693	-5.66	-0.362466
-5.56	0.0335693	-5.56	-0.356062
-5.46	0.0343018	-5.46	-0.349658
-5.36	0.0335693	-5.36	-0.343254
-5.26	0.02771	-5.26	-0.336851
-5.16	0.02771	-5.16	-0.330446
-5.06	0.0303955	-5.06	-0.324042
-4.96	0.0316162	-4.96	-0.317638
-4.86	0.0616455	-4.86	-0.311234
-4.76	0.0804443	-4.76	-0.304831
-4.66	0.108521	-4.66	-0.298426
-4.56	0.135132	-4.56	-0.292022
-4.46	0.170288	-4.46	-0.285618
-4.36	0.182007	-4.36	-0.279214
-4.26	0.187866	-4.26	-0.272811
-4.16	0.19104	-4.16	-0.266406
-4.06	0.193726	-4.06	-0.260002
-3.96	0.193726	-3.96	-0.253598
-3.86	0.175415	-3.86	-0.247194
-3.76	0.160522	-3.76	-0.240791
-3.66	0.173462	-3.66	-0.234386
-3.56	0.170288	-3.56	-0.227982
-3.46	0.163696	-3.46	-0.221578
-3.36	0.158569	-3.36	-0.215174
-3.26	0.150024	-3.26	-0.208771
-3.16	0.139038	-3.16	-0.202366
-3.06	0.12854	-3.06	-0.195962
-2.96	0.109741	-2.96	-0.189558
-2.86	0.0999756	-2.86	-0.183154
-2.76	0.0894775	-2.76	-0.176751
-2.66	0.0758057	-2.66	-0.170346
-2.56	0.0648193	-2.56	-0.163942
-2.46	0.06604	-2.46	-0.157538
-2.36	0.06604	-2.36	-0.151134
-2.26	0.0640869	-2.26	-0.144731
-2.16	0.0562744	-2.16	-0.138326
-2.06	0.0269775	-2.06	-0.131922
-1.96	-0.0101318	-1.96	-0.125518
-1.86	-0.0355225	-1.86	-0.119114
-1.76	-0.050415	-1.76	-0.112711
-1.66	-0.0484619	-1.66	-0.106306
-1.56	-0.0621338	-1.56	-0.0999025
-1.46	-0.0836182	-1.46	-0.0934983
-1.36	-0.124634	-1.36	-0.0870944
-1.26	-0.157837	-1.26	-0.0806905
-1.16	-0.159058	-1.16	-0.0742864
-1.06	-0.157837	-1.06	-0.0678825
-0.959999	-0.143433	-0.959999	-0.0614783
-0.860001	-0.148071	-0.860001	-0.0550744
-0.760002	-0.155151	-0.760002	-0.0486705
-0.66	-0.16687	-0.66	-0.0422664
-0.560001	-0.102417	-0.560001	-0.0358625
