Cycle: 8  C15N146A_X	Cycle: 8  C15N146A_Y	Fitted Cycle: 8  C15N146A_X	Fitted Cycle: 8  C15N146A_Y
-10.16	-0.0397949	-10.16	0.0829666
-10.06	-0.0495605	-10.06	0.0821499
-9.96	-0.0495605	-9.96	0.0813334
-9.86	-0.0593262	-9.86	0.0805168
-9.76	-0.0546875	-9.76	0.0797001
-9.66	-0.0476074	-9.66	0.0788836
-9.56	-0.0534668	-9.56	0.0780669
-9.46	-0.0437012	-9.46	0.0772504
-9.36	-0.0437012	-9.36	0.0764338
-9.26	-0.041748	-9.26	0.0756171
-9.16	-0.0358887	-9.16	0.0748006
-9.06	-0.0456543	-9.06	0.0739839
-8.96	-0.0456543	-8.96	0.0731674
-8.86	-0.0507813	-8.86	0.0723508
-8.76	-0.0437012	-8.76	0.0715341
-8.66	-0.0515137	-8.66	0.0707176
-8.56	-0.041748	-8.56	0.0699009
-8.46	-0.0410156	-8.46	0.0690844
-8.36	-0.0437012	-8.36	0.0682678
-8.26	-0.0534668	-8.26	0.0674511
-8.16	-0.0515137	-8.16	0.0666346
-8.06	-0.0554199	-8.06	0.0658179
-7.96	-0.0515137	-7.96	0.0650014
-7.86	-0.0546875	-7.86	0.0641848
-7.76	-0.0534668	-7.76	0.0633681
-7.66	-0.0612793	-7.66	0.0625516
-7.56	-0.0554199	-7.56	0.0617349
-7.46	-0.0612793	-7.46	0.0609184
-7.36	-0.0554199	-7.36	0.0601018
-7.26	-0.0651855	-7.26	0.0592851
-7.16	-0.0605469	-7.16	0.0584686
-7.06	-0.0534668	-7.06	0.0576519
-6.96	-0.0612793	-6.96	0.0568354
-6.86	-0.0612793	-6.86	0.0560188
-6.76	-0.0651855	-6.76	0.0552021
-6.66	-0.0605469	-6.66	0.0543856
-6.56	-0.0534668	-6.56	0.0535689
-6.46	-0.0612793	-6.46	0.0527524
-6.36	-0.0651855	-6.36	0.0519358
-6.26	-0.0710449	-6.26	0.0511191
-6.16	-0.0605469	-6.16	0.0503026
-6.06	-0.0612793	-6.06	0.0494859
-5.96	-0.0651855	-5.96	0.0486694
-5.86	-0.0612793	-5.86	0.0478528
-5.76	-0.0612793	-5.76	0.0470361
-5.66	-0.0664063	-5.66	0.0462196
-5.56	-0.0612793	-5.56	0.0454029
-5.46	-0.057373	-5.46	0.0445864
-5.36	-0.0371094	-5.36	0.0437698
-5.26	-0.0163574	-5.26	0.0429531
-5.16	7.8125e-3	-5.16	0.0421366
-5.06	0.0480957	-5.06	0.0413199
-4.96	0.083252	-4.96	0.0405034
-4.86	0.117188	-4.86	0.0396868
-4.76	0.149658	-4.76	0.0388701
-4.66	0.165283	-4.66	0.0380536
-4.56	0.180908	-4.56	0.0372369
-4.46	0.19458	-4.46	0.0364204
-4.36	0.195313	-4.36	0.0356038
-4.26	0.203613	-4.26	0.0347871
-4.16	0.210205	-4.16	0.0339706
-4.06	0.223877	-4.06	0.0331539
-3.96	0.247314	-3.96	0.0323374
-3.86	0.239502	-3.86	0.0315208
-3.76	0.229736	-3.76	0.0307041
-3.66	0.205566	-3.66	0.0298876
-3.56	0.180908	-3.56	0.0290709
-3.46	0.14502	-3.46	0.0282544
-3.36	0.131348	-3.36	0.0274378
-3.26	0.0910645	-3.26	0.0266211
-3.16	0.0610352	-3.16	0.0258046
-3.06	0.0305176	-3.06	0.0249879
-2.96	-1.46484e-3	-2.96	0.0241714
-2.86	-0.0522461	-2.86	0.0233548
-2.76	-0.0788574	-2.76	0.0225381
-2.66	-0.103027	-2.66	0.0217216
-2.56	-0.122559	-2.56	0.0209049
-2.46	-0.134277	-2.46	0.0200884
-2.36	-0.133545	-2.36	0.0192718
-2.26	-0.132324	-2.26	0.0184551
-2.16	-0.128418	-2.16	0.0176386
-2.06	-0.19873	-2.06	0.0168219
-1.96	-0.247559	-1.96	0.0160054
