"Volume (mL)"	"BioRad Standards"	"BioRad Standards"	"BioRad Standards"	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
-1.312980	-1.757590					
-1.311990	-1.788160					
-1.311000	-1.799120					
-1.310010	-1.803550					
-1.309010	-1.822450					
-1.308020	-1.851070					
-1.307030	-1.854680					
-1.306040	-1.850420					
-1.305040	-1.861110					
-1.304050	-1.847500					
-1.303060	-1.821530					
-1.302070	-1.817370					
-1.301070	-1.828760					
-1.300080	-1.832380					
-1.299090	-1.838320					
-1.298090	-1.860950					
-1.297100	-1.891300					
-1.296110	-1.935790					
-1.295120	-1.984340					
-1.294120	-2.001670					
-1.293130	-2.002430					
-1.292140	-2.021870					
-1.291150	-2.034340					
-1.290150	-2.030720					
-1.289160	-2.021920					
-1.288170	-1.999030					
-1.287180	-1.976240					
-1.286180	-1.963930					
-1.285190	-1.980290					
-1.284200	-1.911010					
-1.283200	-1.905660					
-1.282210	-1.843610					
-1.281220	-1.791670					
-1.280230	-1.812830					
-1.279230	-1.820770					
-1.278240	-1.827520					
-1.277250	-1.868130					
-1.276260	-1.910790					
-1.275260	-1.907390					
-1.274270	-1.914250					
-1.273280	-1.920510					
-1.272290	-1.921970					
-1.271290	-1.974400					
-1.270300	-2.015390					
-1.269310	-2.034130					
-1.268310	-2.034940					
-1.267320	-2.051350					
-1.266330	-2.089040					
-1.265340	-2.075540					
-1.264340	-2.081210					
-1.263350	-2.118960					
-1.262360	-2.140510					
-1.261370	-2.145370					
-1.260370	-2.148500					
-1.259380	-2.161730					
-1.258390	-2.153840					
-1.257400	-2.133860					
-1.256400	-2.148500					
-1.255410	-2.162050					
-1.254420	-2.172910					
-1.253420	-2.185110					
-1.252430	-2.197850					
-1.251440	-2.194340					
-1.250450	-2.184300					
-1.249450	-2.191970					
-1.248460	-2.179280					
-1.247470	-2.144930					
-1.246480	-2.173610					
-1.245480	-2.151040					
-1.244490	-2.133860					
-1.243500	-2.136670					
-1.242510	-2.165400					
-1.241510	-2.163130					
-1.240520	-2.161730					
-1.239530	-2.181010					
-1.238530	-2.177230					
-1.237540	-2.232630					
-1.236550	-2.256610					
-1.235560	-2.275510					
-1.234560	-2.284630					
-1.233570	-2.323570					
-1.232580	-2.321950					
-1.231590	-2.381720					
-1.230590	-2.404890					
-1.229600	-2.399920					
-1.228610	-2.403860					
