"Vol (mL)"	CDIN1L178Q	CDIN1L178Q	CDIN1L178Q	Codanin-1	Codanin-1	Codanin-1	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"
119.4700				-0.680					
119.5900				-0.680					
119.7200				-0.760					
119.8400				-0.720					
119.9700				-0.840					
									
0.0000	1.4745								
0.1300	1.5630								
0.2500	1.3620								
0.3800	1.3575								
0.5000	2.0160								
0.6300	2.2680								
0.7500	3.0390								
0.8800	2.8320								
1.0000	2.2200								
1.1300	1.9470								
1.2500	1.9230								
1.3800	1.7550								
1.5000	1.7085								
1.6300	1.5795								
1.7500	1.5150								
1.8800	1.4940								
2.0100	1.4190								
2.1300	1.4400								
2.2600	1.3680								
2.3800	1.3665								
2.5100	1.3275								
2.6300	1.2945								
2.7600	1.2795								
2.8800	1.2495								
3.0100	1.2540								
3.1300	1.2045								
3.2600	1.2210								
3.3800	1.1565								
3.5100	1.1280								
3.6400	1.1310								
3.7600	1.1235								
3.8900	1.1355								
4.0100	1.0680								
4.1400	1.1025								
4.2600	1.0665								
4.3900	1.0380								
4.5100	0.9900								
4.6400	1.0140								
4.7600	1.0020								
4.8900	0.9750								
5.0100	0.9795								
5.1400	0.9825								
5.2600	0.9630								
5.3900	0.9390								
5.5200	0.9405								
5.6400	0.9645								
5.7700	0.9570								
5.8900	0.9510								
6.0200	0.9660								
6.1400	0.9105								
6.2700	0.9225								
6.3900	0.9690								
6.5200	0.9555								
6.6400	0.9870								
6.7700	1.0095								
6.8900	0.9855								
7.0200	1.0080								
7.1400	1.0275								
7.2700	1.0065								
7.4000	1.0095								
7.5200	1.0530								
7.6500	1.0830								
7.7700	1.0950								
7.9000	1.1160								
8.0200	1.1325								
8.1500	1.1355								
8.2700	1.1760								
8.4000	1.1865								
8.5200	1.1805								
8.6500	1.2420								
8.7700	1.2720								
8.9000	1.2885								
9.0300	1.2990								
9.1500	1.3200								
9.2800	1.3425								
9.4000	1.3725								
9.5300	1.3800								
9.6500	1.4190								
9.7800	1.4325								
9.9000	1.4700								
10.0300	1.4550								
10.1500	1.4925								
10.2800	1.4895								
10.4000	1.5075								
10.5300	1.5150								
10.6500	1.5240								
10.7800	1.5060								
10.9100	1.5090								
11.0300	1.5135								
11.1600	1.4955								
11.2800	1.4940								
11.4100	1.4895								
11.5300	1.4790								
11.6600	1.4460								
11.7800	1.4670								
11.9100	1.4670								
12.0300	1.4250								
12.1600	1.4010								
12.2800	1.3560								
12.4100	1.3515								
12.5300	1.3425								
12.6600	1.3200								
12.7900	1.2795								
12.9100	1.2420								
13.0400	1.2285								
13.1600	1.2300								
13.2900	1.1970								
13.4100	1.2000								
13.5400	1.1265								
13.6600	1.1325								
13.7900	1.0920								
13.9100	1.0920								
14.0400	1.0650								
14.1600	1.0485								
14.2900	1.0275								
14.4200	0.9495								
14.5400	0.9345								
14.6700	0.9060								
14.7900	0.9075								
14.9200	0.8925								
15.0400	0.8670								
15.1700	0.8130								
15.2900	0.8115								
15.4200	0.7560								
15.5400	0.7245								
15.6700	0.7170								
15.7900	0.6765								
15.9200	0.6660								
16.0400	0.6375								
16.1700	0.6690								
16.3000	0.6210								
16.4200	0.5835								
16.5500	0.5550								
16.6700	0.5295								
16.8000	0.5250								
16.9200	0.5070								
17.0500	0.4995								
17.1700	0.5055								
17.3000	0.4470								
17.4200	0.4530								
17.5500	0.4185								
17.6700	0.3975								
17.8000	0.3945								
17.9200	0.4110								
18.0500	0.3645								
18.1800	0.3885								
18.3000	0.3450								
18.4300	0.3855								
18.5500	0.3435								
18.6800	0.3210								
18.8000	0.3450								
18.9300	0.2895								
19.0500	0.3000								
19.1800	0.2910								
19.3000	0.3000								
19.4300	0.2340								
19.5500	0.2655								
19.6800	0.2385								
19.8100	0.2700								
19.9300	0.2430								
20.0600	0.2160								
20.1800	0.2565								
20.3100	0.2310								
20.4300	0.2220								
20.5600	0.2250								
20.6800	0.1965								
20.8100	0.2085								
20.9300	0.2100								
21.0600	0.1800								
21.1800	0.1620								
21.3100	0.1650								
21.4300	0.1845								
21.5600	0.1665								
21.6900	0.1770								
21.8100	0.1755								
21.9400	0.1635								
22.0600	0.1530								
22.1900	0.1515								
22.3100	0.1125								
22.4400	0.1155								
22.5600	0.1140								
22.6900	0.1230								
22.8100	0.0975								
22.9400	0.1050								
23.0600	0.0900								
23.1900	0.0960								
23.3100	0.0900								
23.4400	0.0675								
23.5700	0.0810								
23.6900	0.0675								
23.8200	0.0300								
23.9400	0.0660								
24.0700	0.0825								
24.1900	0.0810								
24.3200	0.0630								
24.4400	0.0600								
24.5700	0.0750								
24.6900	0.0750								
24.8200	0.0270								
24.9400	0.0120								
25.0700	0.0195								
25.2000	-0.0195								
25.3200	0.0285								
25.4500	0.0075								
25.5700	0.0000								
25.7000	-0.0255								
25.8200	-0.0540								
25.9500	-0.0180								
26.0700	0.0135								
26.2000	-0.0270								
26.3200	-0.0315								
26.4500	-0.0435								
26.5700	-0.0300								
26.7000	-0.0660								
26.8200	-0.0450								
26.9500	-0.0375								
27.0800	-0.0210								
27.2000	0.0000								
27.3300	-0.0480								
27.4500	-0.0465								
27.5800	-0.0525								
27.7000	-0.0270								
27.8300	-0.0660								
27.9500	-0.0555								
28.0800	-0.0465								
28.2000	-0.0630								
28.3300	-0.0420								
28.4500	-0.0630								
28.5800	-0.0480								
28.7000	-0.0960								
28.8300	-0.0645								
28.9600	-0.0645								
29.0800	-0.0930								
29.2100	-0.0435								
29.3300	-0.0645								
29.4600	-0.0405								
29.5800	-0.0525								
29.7100	-0.0720								
29.8300	-0.0720								
29.9600	-0.0450								
30.0800	-0.0555								
30.2100	-0.0510								
30.3300	-0.0390								
30.4600	-0.0270								
30.5900	-0.0525								
30.7100	-0.0480								
30.8400	-0.0555								
30.9600	-0.0630								
31.0900	-0.0525								
31.2100	-0.0615								
31.3400	-0.0735								
31.4600	-0.0630								
31.5900	-0.0765								
31.7100	-0.0540								
31.8400	-0.0735								
31.9600	-0.0330								
32.0900	-0.0810								
32.2100	-0.0675								
32.3400	-0.0450								
32.4700	-0.0450								
32.5900	-0.0270								
32.7200	-0.0420								
32.8400	-0.0525								
32.9700	-0.0375								
33.0900	0.0330								
33.2200	-0.0105								
33.3400	-0.0180								
33.4700	0.0000								
33.5900	-0.0120								
33.7200	-0.0180								
33.8400	-0.0060								
33.9700	0.0000								
34.0900	-0.0285								
34.2200	-0.0210								
34.3500	0.0000								
34.4700	0.0135								
34.6000	-0.0060								
34.7200	-0.0345								
34.8500	-0.0090								
34.9700	-0.0150								
35.1000	0.0270								
35.2200	-0.0135								
35.3500	0.0255								
35.4700	-0.0075								
35.6000	-0.0465								
35.7200	-0.0270								
35.8500	-0.0495								
35.9800	-0.0795								
36.1000	-0.0450								
36.2300	-0.0405								
36.3500	-0.0375								
36.4800	-0.0495								
36.6000	-0.0480								
36.7300	-0.0810								
36.8500	-0.0045								
36.9800	0.0120								
37.1000	-0.0075								
37.2300	-0.0075								
37.3500	-0.0285								
37.4800	-0.0330								
37.6000	-0.0045								
37.7300	0.0060								
37.8600	-0.0045								
37.9800	-0.0135								
38.1100	0.0150								
38.2300	0.0615								
38.3600	0.0330								
38.4800	0.0330								
38.6100	0.0990								
38.7300	0.0660								
38.8600	0.0990								
38.9800	0.1575								
39.1100	0.1740								
39.2300	0.2355								
39.3600	0.2355								
39.4800	0.2880								
39.6100	0.4005								
39.7400	0.3780								
39.8600	0.4260								
39.9900	0.5220								
40.1100	0.5715								
40.2400	0.6195								
40.3600	0.6795								
40.4900	0.7890								
40.6100	0.8760								
40.7400	0.9885								
40.8600	1.0995								
40.9900	1.2060								
41.1100	1.2825								
41.2400	1.4265								
41.3700	1.5015								
41.4900	1.6335								
41.6200	1.7820								
41.7400	1.8810								
41.8700	2.0145								
