"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
18.80	-0.3420								
18.92	-0.3624								
19.05	-0.3504								
19.17	-0.3768								
19.30	-0.3864								
19.42	-0.3744								
19.55	-0.3960								
19.67	-0.4032								
19.80	-0.4092								
19.92	-0.4356								
20.05	-0.4188								
20.17	-0.4308								
20.30	-0.4608								
20.42	-0.4428								
20.55	-0.4476								
20.67	-0.4440								
20.80	-0.4560								
20.93	-0.4632								
21.05	-0.4500								
21.18	-0.4584								
21.30	-0.4776								
21.43	-0.4800								
21.55	-0.4872								
21.68	-0.5004								
21.80	-0.5004								
21.93	-0.4884								
22.05	-0.5184								
22.18	-0.5232								
22.30	-0.5136								
22.43	-0.5196								
22.55	-0.5448								
22.68	-0.5316								
22.80	-0.5544								
22.93	-0.5424								
23.06	-0.5580								
23.18	-0.5676								
23.31	-0.5472								
23.43	-0.5520								
23.56	-0.5616								
23.68	-0.5712								
23.81	-0.5856								
23.93	-0.5916								
24.06	-0.5592								
24.18	-0.5952								
24.31	-0.5952								
24.43	-0.5700								
24.56	-0.6192								
24.68	-0.5964								
24.81	-0.6012								
24.94	-0.5988								
25.06	-0.5784								
25.19	-0.5880								
25.31	-0.6120								
25.44	-0.6228								
25.56	-0.5916								
25.69	-0.6288								
25.81	-0.6276								
25.94	-0.5976								
26.06	-0.6024								
26.19	-0.6084								
26.31	-0.6180								
26.44	-0.6084								
26.56	-0.6252								
26.69	-0.6396								
26.81	-0.6456								
26.94	-0.5880								
27.07	-0.6396								
27.19	-0.6432								
27.32	-0.6504								
27.44	-0.6468								
27.57	-0.6456								
27.69	-0.6468								
27.82	-0.6384								
27.94	-0.6600								
28.07	-0.6276								
28.19	-0.6504								
28.32	-0.6516								
28.44	-0.6288								
28.57	-0.6636								
28.69	-0.6264								
28.82	-0.6192								
28.94	-0.6564								
29.07	-0.6672								
29.20	-0.6828								
29.32	-0.6588								
29.45	-0.6408								
29.57	-0.6396								
29.70	-0.6432								
29.82	-0.6780								
29.95	-0.6852								
30.07	-0.6456								
30.20	-0.6408								
30.32	-0.6564								
30.45	-0.6396								
30.57	-0.6960								
30.70	-0.6444								
30.82	-0.6696								
30.95	-0.6648								
31.07	-0.6444								
31.20	-0.6756								
31.33	-0.6492								
31.45	-0.6660								
31.58	-0.6528								
31.70	-0.6372								
