"Vol (mL)"	CDIN1	CDIN1	CDIN1	Codanin-1	Codanin-1	Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
49.79				1.140					
49.91				1.026					
50.04				1.197					
50.16				1.140					
50.29				1.026					
50.41				1.425					
50.54				1.539					
50.66				1.653					
50.79				1.425					
50.91				1.311					
51.04				1.311					
51.16				1.368					
51.29				1.482					
51.42				1.482					
51.54				1.482					
51.67				1.653					
51.79				1.767					
51.92				1.824					
52.04				1.824					
52.17				1.767					
52.29				1.938					
52.42				2.052					
52.54				1.995					
52.67				1.995					
52.79				2.223					
52.92				2.223					
53.04				2.337					
53.17				2.622					
53.29				2.679					
53.42				2.679					
53.54				2.736					
53.67				2.850					
53.79				2.850					
53.92				2.964					
54.04				3.192					
54.17				3.249					
54.29				3.477					
54.42				3.420					
54.54				3.705					
54.67				3.705					
54.79				3.876					
54.92				4.047					
55.04				4.161					
55.17				4.332					
55.29				4.446					
55.42				4.731					
55.54				4.674					
55.67				5.016					
55.79				5.073					
55.92				5.244					
56.04				5.415					
56.17				5.586					
56.29				5.700					
56.42				5.814					
56.54				6.099					
56.67				6.213					
56.79				6.384					
56.92				6.612					
57.04				6.783					
57.17				7.068					
57.29				6.954					
57.42				7.353					
57.54				7.524					
57.67				7.695					
57.80				7.866					
57.92				7.980					
58.05				8.379					
58.17				8.436					
58.30				8.721					
58.42				8.664					
58.55				8.949					
58.67				9.234					
58.80				9.291					
58.92				9.576					
59.05				9.747					
59.17				9.975					
59.30				10.146					
59.42				10.602					
59.55				10.431					
59.67				10.773					
59.80				11.001					
59.92				11.001					
60.05				11.457					
60.17				11.400					
60.30				11.799					
60.42				12.027					
60.55				12.141					
60.67				12.312					
60.80				12.483					
60.92				12.825					
61.05				13.053					
61.17				13.338					
61.30				13.338					
61.42				13.851					
